ID,City Name,Latitude,Longitude,Country
4766204,Isle of Wight,36.90765,-76.70773,United States
4766221,Ivanhoe,36.84012,-80.96675,United States
4766232,Ivy,38.05653,-78.59668,United States
4766554,Jarratt,36.81432,-77.46831,United States
4767082,Jolivue,38.10985,-79.07308,United States
4767229,Jonesville,36.68898,-83.111,United States
4767509,Kenbridge,36.96209,-78.125,United States
4767677,Keysville,37.04043,-78.48333,United States
4767723,Kilmarnock,37.71041,-76.37967,United States
4767771,King George,38.26818,-77.18442,United States
4767789,King William,37.68736,-77.01358,United States
4767794,King and Queen Court House,37.66986,-76.87746,United States
4767864,Kings Park,38.80622,-77.24332,United States
4768101,La Crosse,36.70014,-78.09972,United States
4768185,Lake Barcroft,38.84789,-77.15581,United States
4768313,Lake Monticello,37.9232,-78.33473,United States
4768351,Lake Ridge,38.68789,-77.29776,United States
4768423,Lakeside,37.60765,-77.47693,United States
4768513,Lancaster,37.76986,-76.46634,United States
4768678,Laurel,37.64292,-77.50887,United States
4768803,Laurel Park,37.6432,-77.49943,United States
4768804,Laurel Park,36.68875,-79.80059,United States
4768900,Lawrenceville,36.75765,-77.84694,United States
4768916,Laymantown,37.36569,-79.85754,United States
4768972,Lebanon,36.90094,-82.08013,United States
4769125,Leesburg,39.11566,-77.5636,United States
4769339,Lexington,37.78402,-79.44282,United States
4769608,Lincolnia,38.81845,-77.14331,United States
4769667,Linton Hall,38.75984,-77.57499,United States
4770288,Loch Lomond,38.78623,-77.47804,United States
4770714,Lorton,38.70428,-77.22776,United States
4770766,Louisa,38.02514,-78.00416,United States
4770817,Lovettsville,39.2726,-77.63666,United States
4770827,Lovingston,37.75986,-78.87086,United States
4770931,Lowes Island,39.05983,-77.35221,United States
4770995,Lunenburg,36.96098,-78.26555,United States
4771014,Luray,38.6654,-78.45945,United States
4771075,Lynchburg,37.41375,-79.14225,United States
4771100,Lyndhurst,38.0293,-78.94502,United States
4771235,Madison,38.38041,-78.2575,United States
4771247,Madison Heights,37.43098,-79.12308,United States
4771401,Manassas,38.75095,-77.47527,United States
4771414,Manassas Park,38.784,-77.46971,United States
4771494,Mantua,38.85372,-77.25943,United States
4771643,Marion,36.83484,-81.51484,United States
4771701,Marshall,38.86484,-77.85777,United States
4771808,Martinsville,36.69153,-79.87254,United States
4771924,Massanetta Springs,38.4004,-78.83419,United States
4771928,Massanutten,38.40957,-78.7378,United States
