City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,"albany,au",-35.0169,117.8917,59.0,88,40,8.05,AU,1611619079
48,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
49,"vaini,to",-21.2,-175.2,82.4,83,75,9.22,TO,1611618899
50,"am timan,td",11.0297,20.2827,72.52,22,54,5.97,TD,1611618851
51,"puerto ayora,ec",-0.7393,-90.3518,77.0,93,70,5.01,EC,1611619079
52,"port alfred,za",-33.5906,26.891,63.0,92,2,3.0,ZA,1611619079
53,"bluff,nz",-46.6,168.3333,80.01,46,100,21.99,NZ,1611619075
54,"kenai,us",60.5544,-151.2583,26.01,93,1,8.05,US,1611619079
55,"punta arenas,cl",-53.15,-70.9167,46.4,49,20,31.07,CL,1611618984
56,"new norfolk,au",-42.7826,147.0587,66.99,61,42,3.0,AU,1611618897
57,"busselton,au",-33.65,115.3333,64.99,74,32,5.99,AU,1611618894
58,"puerto ayora,ec",-0.7393,-90.3518,77.0,93,70,5.01,EC,1611619079
59,"zorgo,bf",12.2489,-0.6158,72.3,20,29,10.58,BF,1611619079
60,"faanui,pf",-16.4833,-151.75,81.14,76,46,17.9,PF,1611619077
61,"bluff,nz",-46.6,168.3333,80.01,46,100,21.99,NZ,1611619075
62,"vaini,to",-21.2,-175.2,82.4,83,75,9.22,TO,1611618899
63,"atuona,pf",-9.8,-139.0333,78.84,76,19,19.01,PF,1611619080
64,"ushuaia,ar",-54.8,-68.3,50.0,46,40,17.27,AR,1611619076
65,"quepos,cr",9.4236,-84.1652,78.8,68,20,12.66,CR,1611619080
66,"ozernovskiy,ru",51.5,156.5167,11.34,92,24,6.82,RU,1611619080
67,"qaanaaq,gl",77.484,-69.3632,6.48,63,0,7.25,GL,1611619080
68,"hilo,us",19.7297,-155.09,73.4,88,90,4.61,US,1611618939
69,"butaritari,ki",3.0707,172.7902,79.57,77,95,6.51,KI,1611619076
70,"bredasdorp,za",-34.5322,20.0403,60.8,88,2,4.61,ZA,1611619080
71,"albany,au",-35.0169,117.8917,59.0,88,40,8.05,AU,1611619079
72,"graaff-reinet,za",-32.2522,24.5308,69.01,72,0,1.66,ZA,1611619080
73,"ushuaia,ar",-54.8,-68.3,50.0,46,40,17.27,AR,1611619076
74,"mount gambier,au",-37.8333,140.7667,62.6,77,40,12.66,AU,1611619081
75,"castro,cl",-42.4721,-73.7732,60.8,44,0,9.22,CL,1611619077
76,"kjollefjord,no",70.9457,27.3465,27.97,96,100,20.49,NO,1611619081
77,"key largo,us",25.0865,-80.4473,73.99,84,50,12.35,US,1611619081
78,"qaanaaq,gl",77.484,-69.3632,6.48,63,0,7.25,GL,1611619080
79,"matagalpa,ni",12.9256,-85.9175,69.8,83,40,9.22,NI,1611619081
80,"narsaq,gl",60.9167,-46.05,26.6,26,38,28.77,GL,1611619081
81,"katsuura,jp",35.1333,140.3,50.0,70,75,10.36,JP,1611619081
82,"east london,za",-33.0153,27.9116,70.54,76,37,20.0,ZA,1611618859
83,"saint-augustin,ca",51.226,-58.6502,32.79,93,99,13.87,CA,1611619082
84,"lorengau,pg",-2.0226,147.2712,84.76,63,93,5.28,PG,1611619082
85,"jamestown,sh",-15.9387,-5.7168,68.86,92,53,15.01,SH,1611619078
86,"vaitape,pf",-16.5167,-151.75,81.18,76,21,18.1,PF,1611619082
87,"bitkine,td",11.9801,18.2138,70.99,23,90,7.87,TD,1611619082
88,"hirara,jp",24.8,125.2833,66.2,82,40,2.3,JP,1611618922
